City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Baracoa,CU,86.0,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
361,Tukrah,LY,80.6,clear sky,32.5341,20.5791,Lagrota restaurant
363,Santa Lucia,ES,78.76,clear sky,27.9117,-15.5407,Las Tirajanas
364,Tankara,IN,79.12,overcast clouds,22.6667,70.7333,"Sama Non-veg Hotel, Tankara"
365,Vilhena,BR,88.02,scattered clouds,-12.7406,-60.1458,Hotel Mirage
367,Rafaela,AR,87.98,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
369,Korla,CN,85.28,clear sky,41.7597,86.1469,Gulisitan Hotel
371,Anloga,GH,76.06,overcast clouds,5.7947,0.8973,Pin Drop Hotel
376,Barcelos,PT,78.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
379,Kerman,IR,84.06,dust,30.2832,57.0788,هتل آپارتمان آسام
383,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
385,Dzilam Gonzalez,MX,84.65,overcast clouds,21.2833,-88.9333,posadas
392,Guarapari,BR,75.88,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
393,Shahkot,IN,84.56,few clouds,31.0775,75.3372,Al Atif Goods Forwording Agency (Reg)
395,Sabzevar,IR,87.08,sand,36.2126,57.6819,پزشکی قانونی سبزوار
396,Nantucket,US,78.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
402,Dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
403,Beyneu,KZ,80.69,clear sky,45.3167,55.2,NUR
406,Hobyo,SO,76.33,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
409,Grand-Santi,GF,81.73,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
411,Rosiile,RO,77.92,clear sky,44.8667,23.9333,La gogu'
414,Camopi,GF,80.67,overcast clouds,3.1655,-52.3158,La pousada
415,Kinshasa,CD,80.67,overcast clouds,-4.3246,15.3215,Star Hotel II
417,Lipari,IT,84.33,clear sky,38.4674,14.954,Hotel Villa Augustus
418,Utuado,PR,88.79,clear sky,18.2655,-66.7004,Western Union
420,Kilindoni,TZ,75.87,clear sky,-7.9139,39.6668,Bustani B&B
