City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Saryagash,KZ,41.4511,69.1701,85.96,17,0,7.94,clear sky
134,Grand Gaube,MU,-20.0064,57.6608,69.39,77,0,5.01,clear sky
135,Gat,IL,31.61,34.7642,82.4,100,0,4.07,clear sky
136,Iracoubo,GF,5.4802,-53.2011,82.89,72,71,8.1,broken clouds
137,Namibe,AO,-15.1961,12.1522,63.7,80,62,2.44,broken clouds
138,Dikson,RU,73.5069,80.5464,46.58,87,100,27.81,light rain
139,Ambilobe,MG,-13.2,49.05,68.94,81,100,2.98,overcast clouds
140,Puerto El Triunfo,SV,13.2833,-88.55,90.52,66,65,10.31,broken clouds
141,Kruisfontein,ZA,-34.0033,24.7314,57.51,55,11,6.73,few clouds
142,Qandala,SO,11.472,49.8728,90.16,48,4,3.31,clear sky
143,Saint-Philippe,RE,-21.3585,55.7679,66.22,81,4,9.17,clear sky
144,Kangaatsiaq,GL,68.3065,-53.4641,39.76,96,100,7.14,overcast clouds
145,Hassleholm,SE,56.1591,13.7664,60.58,60,73,12.08,broken clouds
146,Victoria,HK,22.2855,114.1577,86.38,77,0,8.99,clear sky
147,Carnarvon,AU,-24.8667,113.6333,63.14,52,0,11.1,clear sky
148,Praia,CV,14.9215,-23.5087,84.74,65,40,6.91,scattered clouds
149,Adre,TD,13.4667,22.2,76.46,71,100,20.42,overcast clouds
150,Hambantota,LK,6.1241,81.1185,77.34,100,75,0.0,broken clouds
151,Goure,NE,13.9835,10.2704,95.02,29,96,7.96,overcast clouds
152,Moose Factory,CA,51.2585,-80.6094,64.4,77,40,9.22,scattered clouds
153,Patacamaya,BO,-17.2333,-67.9167,58.06,23,78,8.39,broken clouds
154,Boqueirao,BR,-7.5,-36.1333,76.55,67,95,11.92,overcast clouds
155,Uyuni,BO,-20.4597,-66.825,57.36,11,11,6.24,few clouds
156,Mayumba,GA,-3.432,10.6554,70.14,87,8,6.38,clear sky
157,Olafsvik,IS,64.8945,-23.7142,53.01,90,100,13.69,overcast clouds
158,Pasni,PK,25.2631,63.471,82.42,86,88,7.4,light rain
159,Santarem,BR,-2.4431,-54.7083,86.13,74,20,8.05,few clouds
160,Coxim,BR,-18.5067,-54.76,95.86,16,0,3.83,clear sky
161,Orvieto,IT,42.7195,12.1116,85.91,53,0,4.29,clear sky
162,Abong Mbang,CM,3.9833,13.1833,68.47,97,58,2.82,light rain
163,Gori,GE,41.9842,44.1158,64.27,91,99,7.14,overcast clouds
164,Edd,ER,13.9297,41.6925,91.33,67,100,5.35,overcast clouds
165,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,8.05,broken clouds
166,Willowmore,ZA,-33.2926,23.4895,57.47,38,56,3.8,broken clouds
167,Yenagoa,NG,4.9247,6.2642,75.65,89,87,5.19,overcast clouds
168,Illapel,CL,-31.6308,-71.1653,62.06,59,2,4.7,clear sky
169,Iranshahr,IR,27.2025,60.6848,84.54,61,40,11.5,scattered clouds
170,Fuerte Olimpo,PY,-21.0415,-57.8738,98.69,15,0,9.35,clear sky
171,Gunjur,GM,13.2019,-16.7339,84.27,70,40,8.05,scattered clouds
172,Henties Bay,NA,-22.116,14.2845,54.37,86,64,9.1,broken clouds
173,Mumford,GH,5.2618,-0.759,74.77,90,100,14.41,light rain
174,Garowe,SO,8.4054,48.4845,82.63,35,100,18.75,overcast clouds
175,Were Ilu,ET,10.6,39.4333,55.35,86,100,3.78,light rain
176,Agirish,RU,61.9247,63.0231,51.69,66,13,3.31,few clouds
177,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.42,81,77,11.54,broken clouds
178,Altay,CN,47.8667,88.1167,60.89,46,0,3.44,clear sky
179,Penzance,GB,50.1186,-5.5371,63.28,68,27,13.02,scattered clouds
