City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Dikson,RU,2022-05-08 10:23:14,73.5069,80.5464,20.64,88,80,22.55
108,Sambalpur,IN,2022-05-08 10:22:56,21.45,83.9667,105.48,13,1,6.35
109,Vestmannaeyjar,IS,2022-05-08 10:23:15,63.4427,-20.2734,49.19,87,75,20.71
110,Santa Rosa,PH,2022-05-08 10:22:49,14.3122,121.1114,90.1,67,54,14.61
111,Torbay,CA,2022-05-08 10:23:17,47.6666,-52.7314,37.58,74,20,12.66
112,Dalvik,IS,2022-05-08 10:23:17,65.9702,-18.5286,42.73,89,100,5.84
113,Causapscal,CA,2022-05-08 10:23:18,48.3542,-67.227,30.85,75,4,0.96
114,Sinnamary,GF,2022-05-08 10:23:19,5.3833,-52.95,77.77,87,89,10.38
115,Timizart,DZ,2022-05-08 10:23:19,36.8,4.2667,65.55,54,28,5.23
116,Dalbandin,PK,2022-05-08 10:23:20,28.8947,64.4101,104.41,6,3,4.61
117,Sinjar,IQ,2022-05-08 10:23:21,36.3209,41.8754,69.93,31,40,5.08
118,Paita,PE,2022-05-08 10:23:21,-5.0892,-81.1144,65.98,85,43,10.87
119,Moville,US,2022-05-08 10:23:22,42.4889,-96.0725,55.04,82,100,13.04
120,Port Hawkesbury,CA,2022-05-08 10:23:23,45.6169,-61.3485,35.91,79,0,1.99
121,Villacidro,IT,2022-05-08 10:23:23,39.4578,8.7406,69.26,49,43,9.64
122,Sao Jose Da Coroa Grande,BR,2022-05-08 10:23:24,-8.8978,-35.1478,77.58,82,77,7.4
123,Bethanien,NA,2022-05-08 10:23:25,-26.502,17.1583,57.33,35,0,6.46
124,Piacabucu,BR,2022-05-08 10:23:25,-10.4056,-36.4344,78.21,79,19,5.91
125,Angoche,MZ,2022-05-08 10:23:26,-16.2325,39.9086,82.35,59,11,7.78
126,Waren,DE,2022-05-08 10:23:27,53.5167,12.6833,56.95,44,7,8.79
127,Llangefni,GB,2022-05-08 10:23:27,53.2556,-4.3106,62.65,70,20,12.66
128,Elliot,ZA,2022-05-08 10:23:28,-31.3333,27.85,51.66,81,99,5.41
129,Sladkovo,RU,2022-05-08 10:23:29,55.5284,70.3385,63.93,30,67,11.81
130,Cayenne,GF,2022-05-08 10:23:30,4.9333,-52.3333,81.09,1,100,4.0
131,Nurlat,RU,2022-05-08 10:23:30,54.4277,50.8051,60.46,32,0,7.43
132,Samarkand,UZ,2022-05-08 10:20:27,39.6542,66.9597,90.82,22,0,6.91
133,Tripoli,LY,2022-05-08 10:23:31,32.8752,13.1875,67.08,66,14,14.16
134,Strai,NO,2022-05-08 10:24:32,58.2,7.9,55.09,23,0,11.5
135,Bilma,NE,2022-05-08 10:24:33,18.6853,12.9164,102.43,9,98,11.03
136,Thunder Bay,CA,2022-05-08 10:23:28,48.4001,-89.3168,41.29,70,75,9.22
137,Valdivia,CL,2022-05-08 10:24:34,-39.8142,-73.2459,57.29,99,100,1.66
138,Lagoa,PT,2022-05-08 10:24:35,39.05,-27.9833,60.04,71,43,7.36
139,Angra Dos Reis,BR,2022-05-08 10:21:20,-23.0067,-44.3181,67.46,82,62,3.2
140,Oranjemund,NA,2022-05-08 10:24:36,-28.55,16.4333,63.59,53,2,9.31
141,Hofn,IS,2022-05-08 10:17:35,64.2539,-15.2082,45.81,92,100,7.61
142,Elat,IL,2022-05-08 10:24:36,29.5581,34.9482,84.04,18,73,9.22
143,Barra,BR,2022-05-08 10:24:37,-11.0894,-43.1417,70.12,67,15,5.23
144,Abu Samrah,SY,2022-05-08 10:24:38,35.3029,37.1841,72.07,28,1,5.86
145,Geraldton,AU,2022-05-08 10:24:39,-28.7667,114.6,72.01,68,3,8.05
146,Kem,RU,2022-05-08 10:24:39,64.9555,34.5793,44.53,45,28,15.52
147,Esmeraldas,BR,2022-05-08 10:24:40,-19.7625,-44.3139,69.91,93,5,3.85
148,Rocha,UY,2022-05-08 10:24:41,-34.4833,-54.3333,51.76,94,33,5.75
149,Maracacume,BR,2022-05-08 10:24:41,-2.0428,-45.9592,74.07,96,92,1.21
150,Saldanha,ZA,2022-05-08 10:24:42,-33.0117,17.9442,68.05,56,39,4.23
151,Qaqortoq,GL,2022-05-08 10:24:42,60.7167,-46.0333,38.28,73,100,6.51
152,Mogadishu,SO,2022-05-08 10:24:44,2.0371,45.3438,89.47,70,20,17.27
153,Rorvik,NO,2022-05-08 10:24:44,64.8621,11.2373,41.49,59,97,16.06
154,Dudinka,RU,2022-05-08 10:20:33,69.4058,86.1778,18.63,85,26,4.41
155,Letlhakane,BW,2022-05-08 10:24:46,-21.4167,25.5833,83.48,20,5,10.63
156,Sao Filipe,CV,2022-05-08 10:24:46,14.8961,-24.4956,72.41,79,35,15.93
